review_id,priority,template_id,source_id,mode,question,expected_answer_set,answer_values,answer,auto_answer_correctness,auto_evidence_faithfulness,auto_unsupported_claim_rate,auto_citation_precision,auto_citation_recall,review_decision,evidence_support,citation_sufficiency,profile_boundary,reviewer_notes
S7-BR-001,coverage_success,QT-Q01-AFFECTED-NAS-ELEMENTS,2026-05-19:079,routed_token_matched_live_tfidf_graphrag,"Which airports, ARTCCs, routes, or other NAS elements are affected by the advisory?",controlledNASelement=BNA,"[{'predicate': 'controlledNASelement', 'value': 'BNA'}]","BNA Citations: atcscc-2026-05-19-079-p1-c1, t1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-002,coverage_success,QT-Q01-AFFECTED-NAS-ELEMENTS,2026-05-19:074,routed_token_matched_live_tfidf_graphrag,"Which airports, ARTCCs, routes, or other NAS elements are affected by the advisory?",controlledNASelement=BNA,"[{'predicate': 'controlledNASelement', 'value': 'BNA'}]","BNA Citations: t1, atcscc-2026-05-19-074-p1-c1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-003,coverage_success,QT-Q01-AFFECTED-NAS-ELEMENTS,2026-05-15:067,routed_token_matched_live_tfidf_graphrag,"Which airports, ARTCCs, routes, or other NAS elements are affected by the advisory?",controlledNASelement=BNA,"[{'predicate': 'controlledNASelement', 'value': 'BNA'}]","BNA Citations: atcscc-2026-05-15-067-p1-c1, t1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-004,coverage_success,QT-Q01-AFFECTED-NAS-ELEMENTS,2026-05-15:084,routed_token_matched_live_tfidf_graphrag,"Which airports, ARTCCs, routes, or other NAS elements are affected by the advisory?",controlledNASelement=SFO,"[{'predicate': 'controlledNASelement', 'value': 'SFO'}]","SFO Citations: atcscc-2026-05-15-084-p1-c1, t1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-005,coverage_success,QT-Q01-AFFECTED-NAS-ELEMENTS,2026-05-14:089,routed_token_matched_live_tfidf_graphrag,"Which airports, ARTCCs, routes, or other NAS elements are affected by the advisory?",controlledNASelement=BNA,"[{'predicate': 'controlledNASelement', 'value': 'BNA'}]","BNA Citations: atcscc-2026-05-14-089-p1-c1, t1.",True,True,0.0,1.0,0.6667,,,,,
S7-BR-006,coverage_success,QT-Q01-TIME-WINDOW,2026-05-19:032,routed_token_matched_live_tfidf_graphrag,What are the effective start and end times for the advisory?,effectiveStartTime=2026-05-19T13:22:00Z | effectiveEndTime=2026-05-19T16:30:00Z,"[{'predicate': 'effectiveStartTime', 'value': '2026-05-19T13:22:00Z'}, {'predicate': 'effectiveEndTime', 'value': '2026-05-19T16:30:00Z'}]",The advisory effective time window is 2026-05-19T13:22:00Z to 2026-05-19T16:30:00Z. Citations: atcscc-2026-05-19-032-p1-c1.,True,True,0.0,1.0,0.3333,,,,,
S7-BR-007,coverage_success,QT-Q01-TIME-WINDOW,2026-05-15:063,routed_token_matched_live_tfidf_graphrag,What are the effective start and end times for the advisory?,effectiveStartTime=2026-05-15T19:18:00Z | effectiveEndTime=2026-05-16T00:30:00Z,"[{'predicate': 'effectiveStartTime', 'value': '2026-05-15T19:18:00Z'}, {'predicate': 'effectiveEndTime', 'value': '2026-05-16T00:30:00Z'}]",The advisory effective time window is 2026-05-15T19:18:00Z to 2026-05-16T00:30:00Z. Citations: atcscc-2026-05-15-063-p1-c1.,True,True,0.0,1.0,0.3333,,,,,
S7-BR-008,coverage_success,QT-Q01-TIME-WINDOW,2026-05-18:069,routed_token_matched_live_tfidf_graphrag,What are the effective start and end times for the advisory?,effectiveStartTime=2026-05-18T15:45:00Z | effectiveEndTime=2026-05-18T20:30:00Z,"[{'predicate': 'effectiveStartTime', 'value': '2026-05-18T15:45:00Z'}, {'predicate': 'effectiveEndTime', 'value': '2026-05-18T20:30:00Z'}]",The advisory effective time window is 2026-05-18T15:45:00Z to 2026-05-18T20:30:00Z. Citations: atcscc-2026-05-18-069-p1-c1.,True,True,0.0,1.0,0.3333,,,,,
S7-BR-009,coverage_success,QT-Q01-TIME-WINDOW,2026-05-14:059,routed_token_matched_live_tfidf_graphrag,What are the effective start and end times for the advisory?,effectiveStartTime=2026-05-14T15:54:00Z | effectiveEndTime=2026-05-15T01:00:00Z,"[{'predicate': 'effectiveStartTime', 'value': '2026-05-14T15:54:00Z'}, {'predicate': 'effectiveEndTime', 'value': '2026-05-15T01:00:00Z'}]",The advisory effective time window is 2026-05-14T15:54:00Z to 2026-05-15T01:00:00Z. Citations: atcscc-2026-05-14-059-p1-c1.,True,True,0.0,1.0,0.3333,,,,,
S7-BR-010,coverage_success,QT-Q01-TIME-WINDOW,2026-05-19:059,routed_token_matched_live_tfidf_graphrag,What are the effective start and end times for the advisory?,effectiveStartTime=2026-05-19T16:38:00Z | effectiveEndTime=2026-05-20T02:30:00Z,"[{'predicate': 'effectiveStartTime', 'value': '2026-05-19T16:38:00Z'}, {'predicate': 'effectiveEndTime', 'value': '2026-05-20T02:30:00Z'}]",The advisory effective time window is 2026-05-19T16:38:00Z to 2026-05-20T02:30:00Z. Citations: atcscc-2026-05-19-059-p1-c1.,True,True,0.0,1.0,0.3333,,,,,
